"","x"
"1396","SEMA6A"
"1397","CRACR2A"
"1398","SLC12A2"
"1399","HOXB3"
"1400","PPT1"
"1401","STMN3"
"1402","RHOU"
"1403","BATF3"
"1404","CENPI"
"1405","MYRIP"
"1406","PTPN13"
"1407","POLA1"
"1408","SLC26A11"
"1409","RENBP"
"1410","PKN3"
"1411","SCARB1"
"1412","DYNAP"
"1413","PHF19"
"1414","IFIH1"
"1415","CAMK1"
"1416","SLC24A4"
"1417","PID1"
"1418","ITGB8"
"1419","CYP4X1"
"1420","NEDD9"
"1421","NOG"
"1422","PLOD2"
"1423","CENPP"
"1424","KIF26A"
"1425","MYO1B"
"1426","LXN"
"1427","AKR1B1"
"1428","HAGHL"
"1429","A4GALT"
"1430","HOXC6"
"1431","CADM1"
"1432","PTAFR"
"1433","TVP23A"
"1434","AK1"
"1435","TNFAIP6"
"1436","BACE2"
"1437","FGD5"
"1438","SELENBP1"
"1439","CAMK2N1"
"1440","ZBED6CL"
"1441","SLC39A8"
"1442","GSDMB"
"1443","DHH"
"1444","SUCNR1"
"1445","CCM2L"
"1446","ARL4C"
"1447","ATP1A4"
"1448","SLC43A2"
"1449","LRCH1"
"1450","ANO9"
"1451","SIRPB2"
"1452","STXBP6"
"1453","MAGEH1"
"1454","AGPAT4"
"1455","TCEA3"
"1456","KNTC1"
"1457","COL4A4"
"1458","RNASE6"
"1459","SPRY2"
"1460","TNIP3"
"1461","WDR76"
"1462","C1orf198"
"1463","PIK3IP1"
"1464","GPR137B"
"1465","PDGFC"
"1466","TMTC1"
"1467","STAP1"
"1468","KCNA3"
"1469","ETV5"
"1470","RASSF3"
"1471","FCHO2"
"1472","APPL2"
"1473","PMEL"
"1474","KRT13"
"1475","AZGP1"
"1476","ATP6V1C2"
"1477","ASPRV1"
"1478","LCE1C"
"1479","CPA4"
"1480","KRT15"
"1481","LCE1B"
"1482","LOR"
"1483","ATG9B"
"1484","SPRR5"
"1485","SPRR1B"
"1486","KRTDAP"
"1487","SLC6A14"
"1488","DUOX2"
"1489","FCHSD1"
"1490","PLA2G4D"
"1491","POSTN"
"1492","GSDMA"
"1493","LAMC2"
"1494","IL36A"
"1495","NPR2"
"1496","FBN1"
"1497","LCE3E"
"1498","KLK9"
"1499","GDA"
"1500","IGFL1"
"1501","LUM"
"1502","SERPINA3"
"1503","PSCA"
"1504","MMP2"
"1505","FBLN1"
"1506","KLK10"
"1507","ESYT3"
"1508","EPS8L1"
"1509","VCAN"
"1510","SLC15A1"
"1511","COL6A3"
"1512","RHCG"
"1513","SMPD3"
"1514","YOD1"
"1515","THY1"
"1516","COL5A2"
"1517","SRGN"
"1518","CCDC80"
"1519","LY6G6C"
"1520","S100A12"
"1521","MYBPC2"
"1522","TGM1"
"1523","FBLN2"
"1524","GPX3"
"1525","FSTL1"
"1526","COL6A1"
"1527","A2ML1"
"1528","AEBP1"
"1529","MFAP4"
"1530","IFNG"
"1531","COL14A1"
"1532","COL12A1"
"1533","CCN3"
"1534","TPM2"
"1535","CDHR1"
"1536","KLK8"
"1537","FOSB"
"1538","FBP1"
"1539","BGN"
"1540","PHLDA1"
"1541","ANXA1"
"1542","CYP24A1"
"1543","THBS2"
"1544","XBP1"
"1545","COL1A2"
"1546","DCN"
"1547","COL5A1"
"1548","PLXDC1"
"1549","EGR1"
"1550","EMP1"
"1551","SCNN1D"
"1552","PCSK2"
"1553","DNASE1L2"
"1554","RRAD"
"1555","PNCK"
"1556","SPARC"
"1557","IL32"
"1558","COL3A1"
"1559","TPM1"
"1560","MCOLN3"
"1561","ITGA2B"
"1562","C1S"
"1563","WFDC5"
"1564","MMP19"
"1565","MGAM"
"1566","CLCA4"
"1567","ADAM12"
"1568","EFNB2"
"1569","NPTX1"
"1570","C7"
"1571","PCOLCE"
"1572","SLC26A9"
"1573","ANGPTL2"
"1574","AREG"
"1575","CRISPLD2"
"1576","KRT16"
"1577","GPSM1"
"1578","EPPK1"
"1579","PLCXD1"
"1580","COL6A2"
"1581","ABCB5"
"1582","NFATC4"
"1583","TM4SF19"
"1584","PRSS8"
"1585","ZEB2"
"1586","CDH19"
"1587","IGFBP4"
"1588","PRRX1"
"1589","PLA2G4F"
"1590","APOC2"
"1591","DSC2"
"1592","LAMA4"
"1593","MXRA8"
"1594","HIST1H1C"
"1595","SPON2"
"1596","CTHRC1"
"1597","IL2"
"1598","LINC02694"
"1599","FNDC1"
"1600","TRIM63"
"1601","CPXM1"
"1602","ELF3"
"1603","EDN1"
"1604","SPON1"
"1605","NID1"
"1606","CXCR1"
"1607","NNMT"
"1608","HTRA1"
"1609","NDRG1"
"1610","OLFML2B"
"1611","SLC6A8"
"1612","LYPD5"
"1613","MUC20"
"1614","LGALSL"
"1615","MLXIPL"
"1616","FAP"
"1617","SEPTIN1"
"1618","ADAMTS2"
"1619","CEACAM3"
"1620","NTNG2"
"1621","NRG1"
"1622","VEGFA"
"1623","ELOVL4"
"1624","TNNT2"
"1625","PSORS1C2"
"1626","PXDN"
"1627","VSIG10L"
"1628","IL23R"
"1629","NEB"
"1630","PHACTR1"
"1631","IKZF3"
"1632","ACAP1"
"1633","ITGA5"
"1634","EMILIN1"
"1635","CAPN14"
"1636","TIMD4"
"1637","KLRB1"
"1638","LRRC15"
"1639","RNF39"
"1640","CHI3L2"
"1641","C1R"
"1642","TMC5"
"1643","SULT1E1"
"1644","FTL"
"1645","COL28A1"
"1646","AQP7"
"1647","PNLIPRP3"
"1648","GLB1L3"
"1649","FGF22"
"1650","PACSIN1"
"1651","FGFBP1"
"1652","CDH11"
"1653","MXRA5"
"1654","SBSPON"
"1655","DPT"
"1656","CCL1"
"1657","ATP2C2"
"1658","TREM2"
"1659","PCDH1"
"1660","SCNN1G"
"1661","CAPN8"
"1662","SKAP1"
"1663","PIF1"
"1664","SLC6A3"
"1665","CALD1"
"1666","CXCR2"
"1667","CLDN10"
"1668","KRT17"
"1669","BICDL2"
"1670","RCN3"
"1671","LY75"
"1672","PHLDB1"
"1673","ECEL1"
"1674","CP"
"1675","SERPINB3"
"1676","MYO18B"
"1677","ZNF365"
"1678","CYSRT1"
"1679","VWA1"
"1680","PDCD1"
"1681","NOS2"
"1682","STRIP2"
"1683","CES4A"
"1684","CD74"
"1685","ADAMTS14"
"1686","KLHDC7B"
"1687","CCL27"
"1688","CADPS"
"1689","PSTPIP1"
"1690","PLN"
"1691","IL33"
"1692","MMP25"
"1693","NRP2"
"1694","Z82206.1"
"1695","FKBP10"
"1696","APOC1"
"1697","CHRDL2"
"1698","GRHL1"
"1699","NLRC3"
"1700","LCK"
"1701","TNIK"
"1702","MYO16"
"1703","NRP1"
"1704","CARMIL2"
"1705","BNIP3L"
"1706","IL2RG"
"1707","CRABP2"
"1708","IL19"
"1709","LAT"
"1710","PAX3"
"1711","SERPINF1"
"1712","ABCA10"
"1713","VNN2"
"1714","RNF224"
"1715","TRGC1"
"1716","CST3"
"1717","GP1BB"
"1718","RHOB"
"1719","MS4A4E"
"1720","OR51E2"
"1721","SERPING1"
"1722","ITGB3"
"1723","ZNF117"
"1724","CLIC3"
"1725","OLFML3"
"1726","FCGRT"
"1727","SERPINB1"
"1728","CDKN1A"
"1729","RASAL3"
"1730","PLP1"
"1731","STAT4"
"1732","CD3G"
"1733","SDR9C7"
"1734","COL16A1"
"1735","MPZ"
"1736","SYTL3"
"1737","AKAP12"
"1738","BTG2"
"1739","TRAT1"
"1740","TP53AIP1"
"1741","LCNL1"
"1742","TFF3"
"1743","PMP22"
"1744","ATP6V0A2"
"1745","TRAF3IP3"
"1746","CDKN2B"
"1747","TESPA1"
"1748","SLIT1"
"1749","CLEC2D"
"1750","CDH3"
"1751","OVOL1"
"1752","PDGFRL"
"1753","DCC"
"1754","LAIR2"
"1755","PGLYRP4"
"1756","FOSL1"
"1757","GPR143"
"1758","STX3"
"1759","TMEM86A"
"1760","MYO15B"
"1761","LMO7"
"1762","CERS3"
"1763","ETS1"
"1764","IL1F10"
"1765","CXCR5"
"1766","CARD18"
"1767","CHAC1"
"1768","TRGC2"
"1769","PLXND1"
"1770","EPHA2"
"1771","APELA"
"1772","SYT8"
"1773","FBXL13"
"1774","TMEM74B"
"1775","BIRC7"
"1776","SOGA3"
"1777","PTPN22"
"1778","KIAA1324"
"1779","IKZF1"
"1780","EAF2"
"1781","TMEM158"
"1782","RASGRP1"
"1783","MAP3K9"
"1784","PPP1R1B"
"1785","ADGRE3"
"1786","LTA"
"1787","CRYBG2"
"1788","AXL"
"1789","KLF4"
"1790","GBA"
"1791","ARHGAP9"
"1792","GLT1D1"
"1793","HMMR"
"1794","HERPUD1"
"1795","NCR1"
"1796","MBOAT2"
"1797","ARC"
"1798","NUB1"
"1799","ARRDC4"
"1800","ZNF426"
"1801","FAM13C"
"1802","MC4R"
"1803","PTPRS"
"1804","PLEKHN1"
"1805","CYTIP"
"1806","FCRLB"
"1807","RND1"
"1808","TXNRD1"
"1809","FAM20C"
"1810","LIPH"
"1811","IL18RAP"
"1812","SCML4"
"1813","CR2"
"1814","ADGRA2"
"1815","HS3ST3B1"
"1816","CXCR3"
"1817","LTBP4"
"1818","SMIM35"
"1819","SEPTIN4"
"1820","FAM110C"
"1821","TMEM119"
"1822","SDC2"
"1823","TSPOAP1"
"1824","DEFB1"
"1825","SCNN1A"
"1826","NCAM1"
"1827","PLEKHS1"
"1828","BCL2"
"1829","ICAM5"
"1830","NDNF"
"1831","HRCT1"
"1832","CETP"
"1833","KLK4"
"1834","MFAP2"
"1835","SLC25A37"
"1836","RHOH"
"1837","OSBP2"
"1838","APOL1"
"1839","CFAP54"
"1840","HMCN1"
"1841","LAMC1"
"1842","ARRDC5"
"1843","PDE5A"
"1844","LPAR6"
"1845","BMP6"
"1846","BPGM"
"1847","GPR174"
"1848","CLMP"
"1849","LIMD2"
"1850","SH3RF2"
"1851","S1PR3"
"1852","TIMP2"
"1853","WWC1"
"1854","CYP19A1"
"1855","RARRES1"
"1856","GZMM"
"1857","SERPINH1"
"1858","FGFR3"
"1859","APOBEC3G"
"1860","MAP4K1"
"1861","LY6H"
"1862","SORBS2"
"1863","SIT1"
"1864","CISH"
"1865","C3AR1"
"1866","GTSE1"
"1867","PBXIP1"
"1868","CALB2"
"1869","PTPRT"
"1870","IL18"
"1871","SLAMF6"
"1872","ADGRG5"
"1873","C10orf99"
"1874","SCT"
"1875","CBLB"
"1876","SP140"
"1877","DOCK9"
"1878","SHISA2"
"1879","TSPAN7"
"1880","COL6A5"
"1881","NAV1"
"1882","SDK1"
"1883","CDH6"
"1884","TMEM45B"
"1885","TUBB2A"
"1886","RCSD1"
"1887","SCIMP"
"1888","WNK2"
"1889","NETO1"
"1890","LOXL4"
"1891","IL16"
"1892","RAB37"
"1893","CACNA1G"
"1894","TMEM106A"
"1895","MYOZ2"
"1896","CLDN7"
"1897","PIK3CD"
"1898","HIST1H2BH"
"1899","REM2"
"1900","ARHGAP15"
"1901","DCHS1"
"1902","PIK3C2G"
"1903","KIF2C"
"1904","SOSTDC1"
"1905","SEMA3C"
"1906","GDF10"
"1907","FMO3"
"1908","PSAP"
"1909","LOXL1"
"1910","PTPRC"
"1911","NTRK1"
"1912","TLDC2"
"1913","CSGALNACT1"
"1914","P2RY10"
"1915","DENND1C"
"1916","COCH"
"1917","CYP1B1"
"1918","ZFYVE28"
"1919","SUSD2"
"1920","CCL23"
"1921","SNX20"
"1922","CYBRD1"
"1923","GCA"
"1924","NOVA2"
"1925","ADH1B"
"1926","CARD11"
"1927","CD70"
"1928","KIF23"
"1929","MARCH3"
"1930","SELPLG"
"1931","SERPINB11"
"1932","CD72"
"1933","RXFP1"
"1934","SASH3"
"1935","SCN9A"
"1936","MOXD1"
"1937","PPP2R2C"
"1938","FXYD2"
"1939","MGAT4A"
"1940","DUOXA1"
"1941","IL1R1"
"1942","UBASH3A"
"1943","ANTXR1"
"1944","CPED1"
"1945","VSIG8"
"1946","CHRDL1"
"1947","DLGAP5"
"1948","IL12RB1"
"1949","ABCA2"
"1950","HHEX"
"1951","PDLIM7"
"1952","SH3D21"
"1953","GLDN"
"1954","S100A4"
"1955","ASPA"
"1956","ERICH1"
"1957","CFH"
"1958","JAK3"
"1959","CX3CL1"
"1960","ANKRD37"
"1961","MRC2"
"1962","CEACAM4"
"1963","SLA2"
"1964","CTSH"
"1965","CCDC88B"
"1966","IDE"
"1967","SPHK1"
"1968","SLFN12L"
"1969","CKLF"
"1970","CASQ2"
"1971","FZD4"
"1972","ARHGAP45"
"1973","MAP1B"
"1974","C10orf82"
"1975","NDRG4"
"1976","EIF4E3"
"1977","MCTP2"
"1978","NRK"
"1979","PTPN6"
"1980","CLEC17A"
"1981","PPP1R16B"
"1982","ERC2"
"1983","VNN1"
"1984","LAMA3"
"1985","EBF2"
"1986","OAF"
"1987","AVPR1A"
"1988","CD48"
"1989","TMEM71"
"1990","PIM1"
"1991","FILIP1L"
"1992","ASS1"
"1993","TBX21"
"1994","PTPRG"
"1995","SH2D2A"
"1996","ACSL4"
"1997","CNST"
"1998","DNAH17"
"1999","LMO3"
"2000","WFDC1"
"2001","TC2N"
"2002","MB"
"2003","ARL15"
"2004","A3GALT2"
"2005","FLNC"
"2006","GNG2"
"2007","ALDH3B2"
"2008","OGN"
"2009","FYN"
"2010","PLCXD3"
"2011","ITGA3"
"2012","BCL6"
"2013","CD300LG"
"2014","ZCCHC24"
"2015","STK17A"
"2016","FGFR1"
"2017","PNMA3"
"2018","C6orf132"
"2019","MT2A"
"2020","C12orf75"
"2021","RNF223"
"2022","KCNJ8"
"2023","KRTAP16-1"
"2024","TACR1"
"2025","CRTAC1"
"2026","C5orf46"
"2027","PRKCB"
"2028","LRRC10B"
"2029","TMPRSS11A"
"2030","MCF2L2"
"2031","RESF1"
"2032","FAM3D"
"2033","CYYR1"
"2034","HSPB7"
"2035","SLC27A3"
"2036","CRIP2"
"2037","RUBCNL"
"2038","TNFRSF17"
"2039","KCNN2"
"2040","SLC6A6"
"2041","FOXQ1"
"2042","GIMAP6"
"2043","HELLS"
"2044","NCALD"
"2045","TNNI2"
"2046","WNT3"
"2047","ADAMTS15"
"2048","AC093323.1"
"2049","CAMP"
"2050","UBL3"
"2051","KRT34"
"2052","BCAN"
"2053","TM4SF18"
"2054","MELTF"
"2055","BCL11B"
"2056","ACPP"
"2057","APBB1IP"
"2058","FGD3"
"2059","AC119396.1"
"2060","PRKCQ"
"2061","SYNPO"
"2062","CCDC88A"
"2063","CLEC2A"
"2064","SLC6A11"
"2065","AGAP2"
"2066","DPYSL3"
"2067","CFI"
"2068","MYO7B"
"2069","CERCAM"
"2070","FAM184A"
"2071","MFGE8"
"2072","PIK3R5"
"2073","AXDND1"
"2074","PLEKHO1"
"2075","COL4A5"
"2076","ABCA9"
"2077","FLT3LG"
"2078","CYB561A3"
"2079","GPRIN3"
"2080","IFNE"
"2081","LRRN3"
"2082","FKBP11"
"2083","CLDN11"
"2084","TMEM204"
"2085","IQGAP2"
"2086","KLHL4"
"2087","SLC6A1"
"2088","PCED1B"
"2089","LMO4"
"2090","IL13RA2"
"2091","ANKRD44"
"2092","GPR171"
"2093","SSC5D"
"2094","KIF21B"
"2095","CHRNA6"
"2096","FABP3"
"2097","KIF14"
"2098","GADD45B"
"2099","ERBB3"
"2100","NCKAP1L"
"2101","STK10"
"2102","PATL2"
"2103","CD244"
"2104","HES1"
"2105","TNNT1"
"2106","DUSP10"
"2107","FGFR2"
"2108","NRROS"
"2109","SLC16A3"
"2110","SMAD6"
"2111","DAPK2"
"2112","NUPR1"
"2113","IFIT3"
"2114","EPB41L3"
"2115","SCIN"
"2116","NAAA"
"2117","DOCK2"
"2118","ZNF750"
"2119","TLR4"
"2120","MYADM"
"2121","PDE4D"
"2122","PIK3R1"
"2123","PLCB1"
"2124","SLC5A1"
"2125","CREM"
"2126","KCNJ15"
"2127","UACA"
"2128","TGFBR2"
"2129","ADGRL2"
"2130","ST6GAL1"
"2131","TNFRSF13C"
"2132","PDE7A"
"2133","CAMK4"
"2134","GBP4"
"2135","NAT8L"
"2136","PFKFB2"
"2137","CTSC"
"2138","OXNAD1"
"2139","CENPW"
"2140","TRAF5"
"2141","NMU"
"2142","OAS1"
"2143","INSIG1"
"2144","LYST"
"2145","SLC22A23"
"2146","ZWINT"
"2147","BIN2"
"2148","DPYS"
"2149","GCLC"
"2150","NLGN2"
"2151","RASSF9"
"2152","RFX3"
"2153","GLI3"
"2154","PPM1H"
"2155","TRERF1"
"2156","SIRPG"
"2157","MARCH1"
"2158","PDE10A"
"2159","GPIHBP1"
"2160","RIN3"
"2161","KLHL3"
"2162","KAT2B"
"2163","ZBED2"
"2164","BTNL8"
"2165","NEDD4L"
"2166","EMB"
"2167","GASK1A"
"2168","AFF3"
"2169","KIF5C"
"2170","TLL1"
"2171","BEST1"
"2172","FAM189A2"
"2173","SLC12A7"
"2174","FERMT3"
"2175","PELO"
"2176","TMEM154"
"2177","BIN1"
"2178","AGAP1"
"2179","GIMAP2"
"2180","RORC"
"2181","GFPT2"
"2182","IPCEF1"
"2183","TTC39C"
"2184","ECM2"
"2185","SLC10A6"
"2186","RBP5"
"2187","FAM107B"
"2188","BASP1"
"2189","GBA2"
"2190","GLIPR1"
"2191","TMOD1"
"2192","PTCRA"
"2193","NEK6"
"2194","ANKRD55"
"2195","KCNE4"
"2196","LY9"
"2197","MAOB"
"2198","CAPN6"
"2199","ERG"
"2200","CACNA1C"
"2201","KIF20A"
"2202","IGFLR1"
"2203","SIGIRR"
"2204","FHOD3"
"2205","RNF227"
"2206","WNT11"
"2207","CD200R1"
"2208","GATA3"
"2209","TGFA"
"2210","NFAM1"
"2211","TBKBP1"
"2212","CEMIP2"
"2213","SLC49A3"
"2214","RNF125"
"2215","HNRNPLL"
"2216","ADAMTS7"
"2217","NDST2"
"2218","SDC4"
"2219","CYSLTR2"
"2220","ODAPH"
"2221","PTPN4"
"2222","SNAI2"
"2223","CXorf21"
"2224","EBF3"
"2225","GRAMD1A"
"2226","N4BP3"
"2227","ACACB"
"2228","DCLK2"
"2229","FIBIN"
"2230","UBE2J1"
"2231","FRY"
"2232","ZNF251"
"2233","ERO1B"
"2234","SEMA3D"
"2235","SLC8A3"
"2236","MT1X"
"2237","GLT8D2"
"2238","TIFAB"
"2239","EPHB4"
"2240","MPP7"
"2241","NINJ1"
"2242","ASGR2"
"2243","HIGD1B"
"2244","PDE3A"
"2245","HELB"
"2246","UBXN11"
"2247","TMC6"
"2248","ZNF101"
"2249","LPXN"
"2250","DPF3"
"2251","GPR141"
"2252","HOXD10"
"2253","PLEKHO2"
"2254","SLC16A1"
"2255","LYN"
"2256","DOCK8"
"2257","EMID1"
"2258","GJA1"
"2259","OSCAR"
"2260","HIST1H3G"
"2261","PCNX2"
"2262","ISG20"
"2263","GOLM1"
"2264","IL1RAP"
"2265","PCP4L1"
"2266","RAB8B"
"2267","ENDOU"
"2268","DRAXIN"
"2269","ARHGEF6"
"2270","SPACA4"
"2271","LRMP"
"2272","GPR65"
"2273","NFIX"
"2274","SLFN5"
"2275","CYP3A5"
"2276","HIP1R"
"2277","UBD"
"2278","LGR4"
"2279","GCSAM"
"2280","ATP6V0D2"
"2281","RAPGEF4"
"2282","ZNF385D"
"2283","PTN"
"2284","PLAGL1"
"2285","GAB3"
"2286","GPR155"
"2287","PADI3"
"2288","MYBL1"
"2289","ABCD2"
"2290","PNOC"
"2291","FAM110D"
"2292","CALY"
"2293","CMPK2"
"2294","LSAMP"
"2295","DIRAS3"
"2296","ULK4"
"2297","EVI2A"
"2298","TDRP"
"2299","CDO1"
"2300","CLEC4A"
"2301","CHST11"
"2302","PLCD3"
"2303","NIBAN1"
"2304","TNFRSF11A"
"2305","ARHGAP25"
"2306","DISC1"
"2307","CPM"
"2308","TGFB3"
"2309","BHLHE41"
"2310","HIST4H4"
"2311","IMMP2L"
"2312","GRAMD1B"
"2313","HGF"
"2314","CMTM2"
"2315","LILRA1"
"2316","RAB27A"
"2317","FHL5"
"2318","ZNF621"
"2319","RGMA"
"2320","SPRED1"
"2321","VSIG2"
"2322","PBX4"
"2323","ID2"
"2324","ANO8"
"2325","AHNAK2"
"2326","RASGRP3"
"2327","INKA2"
"2328","CEP72"
"2329","GASK1B"
"2330","SLCO4A1"
"2331","SLC7A2"
"2332","ICAM2"
"2333","MEF2C"
"2334","GPCPD1"
"2335","ANK2"
"2336","GCHFR"
"2337","EXOC6"
"2338","MVB12B"
"2339","SYT11"
"2340","POU3F1"
"2341","ZMAT1"
"2342","TNFSF4"
"2343","IFT43"
"2344","GPSM3"
"2345","OR51E1"
"2346","MEIS2"
"2347","DPEP2"
"2348","TIAM1"
"2349","CASP8"
"2350","NPNT"
"2351","INPP5D"
"2352","CACNA2D3"
"2353","PHTF2"
"2354","LFNG"
"2355","MAPK11"
"2356","SLC22A3"
"2357","GIMAP5"
"2358","OAS2"
"2359","ST6GALNAC3"
"2360","SEMA4D"
"2361","MAPK10"
"2362","CD86"
"2363","MPPED2"
"2364","RILPL2"
"2365","FMNL2"
"2366","PDE4B"
"2367","TSPAN15"
"2368","TTYH3"
"2369","COL21A1"
"2370","ARRB1"
"2371","RALGPS1"
"2372","ODF3B"
"2373","P2RX7"
"2374","GPR68"
"2375","SP110"
"2376","AC091057.6"
"2377","DNM3"
"2378","KCNN3"
"2379","LRMDA"
"2380","GAS7"
"2381","TSPAN32"
"2382","TMPRSS3"
"2383","IGSF9"
"2384","GPM6B"
"2385","BAG2"
"2386","DCUN1D3"
"2387","FAM107A"
"2388","GBP2"
"2389","AMOTL2"
"2390","MICALL2"
"2391","EHD1"
"2392","MKNK1"
"2393","PRDM16"
"2394","LRRC25"
"2395","PPM1M"
"2396","RAB11FIP1"
"2397","FAM241A"
"2398","SCARF2"
"2399","ZNRF1"
"2400","CEP85L"
"2401","PDE4C"
"2402","WTIP"
"2403","FCHSD2"
"2404","CDK14"
"2405","TNFRSF6B"
"2406","SHF"
"2407","NFATC1"
"2408","GLI4"
"2409","FHL2"
"2410","GALNT16"
"2411","PDGFD"
"2412","COL22A1"
"2413","NFIL3"
"2414","FAAH2"
"2415","USP53"
"2416","CDC14A"
"2417","TSPAN4"
"2418","BICDL1"
"2419","KLF3"
"2420","RASSF10"
"2421","PLXNA2"
"2422","DENND2D"
"2423","PTPRJ"
"2424","HDAC8"
"2425","LY86"
"2426","C9orf72"
"2427","DENND2A"
"2428","SH2D3C"
"2429","PREX1"
"2430","JMY"
"2431","CERS6"
"2432","SLC4A7"
"2433","CCNF"
"2434","CROCC"
"2435","ST6GALNAC6"
"2436","TWIST1"
"2437","FAM49A"
"2438","MICAL2"
"2439","GFRA2"
"2440","GLI2"
"2441","CAPS"
"2442","RTN1"
"2443","NINL"
"2444","TXK"
"2445","ADAMTS5"
"2446","COL24A1"
"2447","TTK"
"2448","BBC3"
"2449","CDCA3"
"2450","AP2A2"
"2451","CHST2"
"2452","HYAL4"
"2453","ACSL5"
"2454","ZSCAN31"
"2455","MLC1"
"2456","TMEM44"
"2457","PDLIM5"
"2458","ME1"
"2459","CHAD"
"2460","ZSCAN2"
"2461","SCN1B"
"2462","CCND3"
"2463","MACC1"
"2464","DCLK1"
"2465","RECQL4"
"2466","CILP2"
"2467","EPHA1"
"2468","CNTRL"
"2469","PPP1R3B"
"2470","KIAA1328"
"2471","SLC7A1"
"2472","SIGLEC9"
"2473","EPB41L2"
"2474","C18orf25"
"2475","NKD1"
"2476","P2RY2"
"2477","TENT5A"
"2478","HVCN1"
"2479","KMO"
"2480","KIF13B"
"2481","CLSTN3"
"2482","ANO1"
"2483","CEP295NL"
"2484","RAD54L"
"2485","APOL2"
"2486","CCDC88C"
"2487","CSGALNACT2"
"2488","VWC2"
"2489","GSAP"
"2490","HR"
"2491","SPATA13"
"2492","TPST1"
"2493","POU2F3"
"2494","PFKM"
"2495","MBP"
"2496","ARAP3"
"2497","IL11RA"
"2498","FAT4"
"2499","PRKCH"
"2500","DNAJB9"
"2501","PABPC4L"
"2502","ZNF436"
"2503","ABLIM2"
"2504","FABP6"
"2505","PARP8"
"2506","GRIP2"
"2507","PPARG"
"2508","THBS3"
"2509","ASAP2"
"2510","FAM111B"
"2511","UBE2C"
"2512","ALKAL2"
"2513","TBC1D16"
"2514","ELMO1"
"2515","C1QTNF6"
"2516","TGFBR3"
"2517","RAPGEF6"
"2518","MID1"
"2519","SMCHD1"
"2520","CD53"
"2521","KIAA0895L"
"2522","ARID5A"
"2523","DEDD2"
"2524","HOMER3"
"2525","ZNF567"
"2526","TSPAN18"
"2527","ADORA2A"
"2528","SLC25A25"
"2529","PGAM2"
"2530","ZDHHC18"
"2531","SLC19A2"
"2532","CDK18"
"2533","IER5"
"2534","CCDC69"
"2535","SLC1A4"
"2536","MXRA7"
"2537","BCL2L11"
"2538","SEPTIN6"
"2539","PLSCR4"
"2540","TEDC1"
"2541","SH3KBP1"
"2542","DDTL"
"2543","MAPKAPK3"
"2544","SCAF4"
"2545","TOX2"
"2546","LEPR"
"2547","CCNG2"
"2548","C9orf16"
"2549","CKAP2L"
"2550","GUCY1B1"
"2551","TM6SF1"
"2552","PER1"
"2553","PCYOX1L"
"2554","VLDLR"
"2555","DNASE2"
"2556","LDLR"
"2557","DOK3"
"2558","NOD1"
"2559","RNF130"
"2560","PLA2G5"
"2561","TANGO2"
"2562","JADE2"
"2563","FRMD4A"
"2564","CADPS2"
"2565","TRAM2"
"2566","USP2"
"2567","ADAMTSL3"
"2568","JAM3"
"2569","BCAR1"
"2570","ZSCAN26"
"2571","ANKRD65"
"2572","HEXIM1"
"2573","STRA6"
"2574","DENND10"
"2575","ABHD11"
"2576","ANP32E"
"2577","PLIN1"
"2578","IGKC"
"2579","IGLC7"
"2580","KRT9"
"2581","FOS"
"2582","CSTA"
"2583","STS"
"2584","GPD1"
"2585","MUC21"
"2586","IL11"
"2587","NEURL2"
"2588","CST6"
"2589","COL1A1"
"2590","IL23A"
"2591","KRT6B"
"2592","GJB2"
"2593","RNASE13"
"2594","IGHE"
"2595","AGR2"
"2596","SPRR4"
"2597","CA4"
"2598","WFDC2"
"2599","CTSV"
"2600","CORO1A"
"2601","CALML3"
"2602","MUC16"
"2603","KRT6A"
"2604","DST"
"2605","LCN6"
"2606","KLK11"
"2607","KRT72"
"2608","GDF15"
"2609","IVNS1ABP"
"2610","DDIT4"
"2611","SLC46A2"
"2612","LPIN1"
"2613","KRT7"
"2614","SDCBP2"
"2615","LTK"
"2616","SPINK6"
"2617","SSR4"
"2618","GRIN1"
"2619","IL36B"
"2620","CNNM4"
"2621","FUT3"
"2622","EPN3"
"2623","IGFL4"
"2624","INSC"
"2625","ABHD17B"
"2626","SYT6"
"2627","KIR2DL4"
"2628","SCART1"
"2629","FOXC2"
"2630","PLEKHG5"
"2631","FFAR1"
"2632","PPL"
"2633","TNN"
"2634","COL6A6"
"2635","SLC19A3"
"2636","PKD2L1"
"2637","IFI27"
"2638","ID1"
"2639","ZNF185"
"2640","GCNT3"
"2641","GAL"
"2642","C16orf89"
"2643","TNFRSF10C"
"2644","ADARB2"
"2645","SLITRK2"
"2646","RBP4"
"2647","NMUR1"
"2648","SLC25A48"
"2649","STK17B"
"2650","HIF3A"
"2651","SLC6A17"
"2652","TMEM40"
"2653","CD24"
"2654","LITAF"
"2655","TNNC1"
"2656","TTC9"
"2657","XDH"
"2658","SLC12A8"
"2659","EVPL"
"2660","PPP1R1A"
"2661","MAB21L4"
"2662","NPY1R"
"2663","DUSP14"
"2664","AGT"
"2665","AVPI1"
"2666","CHRNA9"
"2667","TCN1"
"2668","LRATD2"
"2669","HTR6"
"2670","EPHB3"
"2671","DHDH"
"2672","MYOM2"
"2673","FXYD7"
"2674","ITGA6"
"2675","LIMCH1"
"2676","TIMP4"
"2677","DNAJB1"
