"","x"
"337","CD248"
"338","FCGR3A"
"339","SPIB"
"340","IL1R2"
"341","PRG4"
"342","CD22"
"343","PRSS22"
"344","SCARA5"
"345","PRND"
"346","DSG1"
"347","BIRC3"
"348","CLDN4"
"349","DHRS9"
"350","RHEX"
"351","KLRC4"
"352","KLRG1"
"353","MAS1L"
"354","SCEL"
"355","ATP13A4"
"356","POF1B"
"357","SHD"
"358","A2M"
"359","CCR4"
"360","CIITA"
"361","CYBB"
"362","ABCA12"
"363","BCL2A1"
"364","CLEC14A"
"365","MRC1"
"366","RGS2"
"367","ADAMTSL1"
"368","SERPINB4"
"369","CD177"
"370","CSF3"
"371","TREM1"
"372","SPARCL1"
"373","EPGN"
"374","TNFRSF18"
"375","CPE"
"376","CTSL"
"377","PTGIS"
"378","GABRP"
"379","FGFBP2"
"380","SLURP2"
"381","ADAMTS18"
"382","JAML"
"383","NPDC1"
"384","CRLF2"
"385","PLAUR"
"386","CD1A"
"387","PLEK"
"388","CXCR6"
"389","ZNF683"
"390","RELN"
"391","HIST1H1D"
"392","SERPINA1"
"393","CD6"
"394","CILP"
"395","CD2"
"396","ECSCR"
"397","TNFRSF9"
"398","C15orf48"
"399","UPP1"
"400","COL7A1"
"401","HSPA1B"
"402","PDGFRB"
"403","HYAL2"
"404","KDM2B"
"405","CTLA4"
"406","TCIM"
"407","ICOS"
"408","TNFRSF4"
"409","CST7"
"410","TM4SF1"
"411","VNN3"
"412","CTSZ"
"413","CXCL2"
"414","MSR1"
"415","FCAR"
"416","ECM1"
"417","IGHA2"
"418","IGFBP7"
"419","LAG3"
"420","PTHLH"
"421","MXD1"
"422","HEPHL1"
"423","NTRK3"
"424","NTS"
"425","HSPB8"
"426","PLD4"
"427","MYLK"
"428","IL3RA"
"429","PRSS27"
"430","TDO2"
"431","ICAM1"
"432","CD68"
"433","FOLR2"
"434","ESAM"
"435","PLPP3"
"436","MAL"
"437","ACKR3"
"438","LILRB2"
"439","NR1H3"
"440","IFITM10"
"441","APOBR"
"442","RIPOR3"
"443","MCF2L"
"444","KLRC3"
"445","TNFRSF13B"
"446","NR4A3"
"447","RDH10"
"448","SIGLEC1"
"449","CCN5"
"450","L1CAM"
"451","SDS"
"452","SLCO2B1"
"453","LDB3"
"454","S100A1"
"455","P2RX1"
"456","HK3"
"457","LHX4"
"458","PLAU"
"459","SERPINE2"
"460","SAMD3"
"461","RASSF4"
"462","DLL4"
"463","FCRL2"
"464","TRAF1"
"465","CFD"
"466","NCF2"
"467","QPCT"
"468","TCF7"
"469","ADGRL4"
"470","TGFBI"
"471","ITIH5"
"472","IFI44L"
"473","MS4A4A"
"474","SYNPO2"
"475","ABCA8"
"476","KIFC3"
"477","EGLN3"
"478","PRELP"
"479","KDR"
"480","MARCKSL1"
"481","SPINK5"
"482","GZMH"
"483","FUCA1"
"484","SLIT3"
"485","GRAP2"
"486","FUT6"
"487","PLA2G2D"
"488","ATF3"
"489","CDH23"
"490","PLA2G7"
"491","SFRP1"
"492","TWIST2"
"493","DAB2"
"494","CCL2"
"495","TXNDC5"
"496","JAG2"
"497","CD3D"
"498","CDK15"
"499","CLEC5A"
"500","VEGFC"
"501","FCRL1"
"502","TTN"
"503","ACE"
"504","MATK"
"505","MCTP1"
"506","LTBP2"
"507","PTPRB"
"508","CD36"
"509","ALOX5AP"
"510","SULF1"
"511","CR1"
"512","ABCA4"
"513","ITM2C"
"514","LOX"
"515","HSPG2"
"516","VCAM1"
"517","FPR3"
"518","FGR"
"519","FCER1G"
"520","CD96"
"521","ENPP3"
"522","SPI1"
"523","GJB6"
"524","SLCO5A1"
"525","EGR2"
"526","CRIP1"
"527","FCRL5"
"528","ZAP70"
"529","CLEC4G"
"530","BATF"
"531","MFAP5"
"532","ISG15"
"533","ENPP2"
"534","RAMP2"
"535","ADAMTS4"
"536","CXCR4"
"537","RUFY4"
"538","IL37"
"539","DKK1"
"540","TMPRSS11D"
"541","BANK1"
"542","WNT5A"
"543","ABI3BP"
"544","CD69"
"545","HCAR3"
"546","FAM83A"
"547","AFAP1L1"
"548","ID4"
"549","IFIT2"
"550","CLEC4F"
"551","ALDH1A3"
"552","SPEG"
"553","FCRL6"
"554","THSD4"
"555","CD40LG"
"556","BLK"
"557","CD5"
"558","TROAP"
"559","PYHIN1"
"560","FGD2"
